Name,Year,User_Type,Rating,vote10f,vote9f,vote8f,vote7f,vote6f,vote5f,vote4f,vote3f,vote2f,vote1f,Rate_Female,Rate_<18f,Rate_18-29f,Rate_30-44f,Rate_45+f,Number_Female,Number_<18f,Number_18-29f,Number_30-44f,Number_45+f
The Witches,2020,females,5.5,289,155,422,931,1509,1243,694,347,250,367,5.5,6.3,5.3,5.4,5.9,6207,8,1503,3250,734
Truth or Dare,2018,females,5.6,529,270,755,1429,1967,1829,989,547,256,327,5.6,5.0,5.6,5.5,5.6,8898,24,3499,3624,679
The Covenant,2006,females,6.1,2945,788,1451,1933,2089,1783,994,578,356,387,6.1,5.0,6.3,6.0,6.0,13304,1,3136,8126,1468
The Stepford Wives,2004,females,5.7,951,523,1410,2917,4216,3673,1941,1029,499,525,5.7,3.0,6.0,5.6,5.4,17684,2,2737,11416,2785
Legion,2010,females,5.7,1285,637,1333,2107,2623,2444,1355,846,587,599,5.7,5.0,5.8,5.5,5.9,13816,2,2614,8174,2332
Spiral,2021,females,5.4,159,111,272,486,716,638,382,239,134,199,5.4,4.8,5.3,5.3,5.7,3336,18,866,1639,472
Things Heard & Seen,2021,females,5.5,160,117,381,867,1414,1316,773,383,221,198,5.5,4.1,5.5,5.4,5.6,5830,8,1279,2967,956
The Resident,2011,nder_18,6.0,0,0,0,0,1,0,0,0,0,0,5.5,6.0,5.5,5.5,5.7,1,1233,4039,995,273
Jennifer's Body,2009,females,5.5,2394,1218,2662,4049,4670,4411,3009,1917,1302,1719,5.5,6.1,5.7,5.4,5.6,27351,23,9743,14134,1910
The Green Inferno,2013,females,5.5,292,159,433,731,997,875,499,285,172,342,5.5,4.7,5.5,5.5,5.7,4785,3,1184,2494,699
Tusk,2014,females,5.1,357,211,553,980,1099,969,644,428,400,852,5.1,6.2,4.8,5.1,5.3,6493,6,1463,3593,953
Sinister 2,2015,females,5.6,464,263,676,1330,2010,1870,977,506,259,201,5.6,4.7,5.6,5.5,5.7,8556,3,2954,3936,897
The Bad Batch,2016,females,5.3,211,137,320,590,702,686,447,245,192,273,5.3,4.0,5.5,5.3,5.1,3803,6,851,1996,594
The Curse of La Llorona,2019,females,5.4,286,133,439,906,1462,1536,839,443,226,219,5.4,4.3,5.3,5.3,5.6,6489,10,1882,3057,825
Friend Request,2016,females,5.4,339,131,396,695,1003,1035,560,331,175,205,5.4,4.2,5.4,5.3,5.7,4870,4,1578,2311,477
The Nun,2018,females,5.4,1234,613,1453,2523,3688,3577,2109,1300,793,891,5.4,5.3,5.4,5.3,5.6,18181,41,6443,7747,1630
The Ring Two,2005,females,5.6,1202,548,1214,2224,3503,3456,1791,893,532,549,5.6,6.3,5.8,5.4,5.6,15912,3,4044,9557,1583
Eight Legged Freaks,2002,females,5.3,336,181,414,730,1080,1131,788,502,240,317,5.3,4.3,5.3,5.1,6.0,5719,3,803,3451,1254
The New Mutants,2020,females,5.4,225,171,411,924,1353,1305,698,404,236,324,5.4,4.2,5.4,5.4,5.5,6051,18,1721,2919,732
The Silence,2019,females,5.5,200,135,494,997,1495,1346,681,412,272,278,5.5,4.9,5.4,5.4,5.8,6310,13,1625,3021,918
The Eye,2008,females,5.5,787,390,845,1631,2534,2354,1280,698,404,440,5.5,6.0,5.7,5.4,5.5,11363,2,3047,6756,1081
House of Wax,2005,females,5.4,2355,981,2032,3319,4270,4138,2636,1635,1008,1184,5.4,6.5,5.8,5.3,5.4,23558,8,6501,14100,1858
Piranha 3D,2010,females,4.8,624,268,561,1087,1515,1465,1082,846,725,1188,4.8,7.0,4.6,4.9,5.2,9361,1,2393,5423,1165
Bride of Chucky,1998,females,5.5,901,314,670,1061,1407,1512,948,542,329,394,5.5,5.0,5.8,5.4,5.3,8078,6,1721,4915,1041
Hellraiser III: Hell on Earth,1992,females,5.7,228,99,233,358,573,529,269,132,65,98,5.7,7.0,5.6,5.7,5.8,2584,1,331,1560,562
Ghost Ship,2002,females,5.8,1372,732,1735,2858,3566,2957,1597,875,454,413,5.8,8.7,5.8,5.8,6.1,16559,3,3122,10269,2360
Dreamcatcher,2003,females,5.6,873,443,1103,1794,2208,1964,1225,797,511,718,5.6,5.0,5.6,5.5,5.9,11636,1,1247,7672,2248
Hostel: Part II,2007,females,5.7,859,487,988,1676,1920,1661,882,523,367,627,5.7,6.3,5.7,5.7,5.8,9990,3,1997,6357,1202
