Name,Year,User_Type,Rating,vote10m,vote9m,vote8m,vote7m,vote6m,vote5m,vote4m,vote3m,vote2m,vote1m,Rate_Male,Rate_<18m,Rate_18-29m,Rate_30-44m,Rate_45+m,Number_Male,Number_<18m,Number_18-29m,Number_30-44m,Number_45+m
Queen of the Damned,2002,males,5.0,2016,891,1859,3382,4851,5427,4103,2678,1714,1889,5.0,4.3,5.2,5.0,5.0,28810,3,1795,19618,6483
The First Purge,2018,males,5.1,1048,446,1470,4300,8371,8497,4496,2465,1470,2610,5.1,5.4,5.2,5.1,5.0,35173,48,8730,17846,5038
The Covenant,2006,males,5.0,1826,708,1542,3098,4844,5474,3681,2319,1595,2005,5.0,4.5,5.2,4.9,5.0,27092,2,2872,18333,5111
Friday the 13th Part VII: The New Blood,1988,males,5.3,1660,550,1500,3055,4679,5329,3264,1879,931,864,5.3,5.2,5.2,5.3,5.2,23711,24,3475,14306,4820
The Stepford Wives,2004,males,5.1,826,433,1457,4013,7664,8260,4855,2729,1502,1507,5.1,2.5,5.4,5.1,5.1,33246,2,2001,19876,10391
Legion,2010,males,5.2,2825,1380,4051,9216,15723,16158,9908,5760,3468,3989,5.2,4.5,5.3,5.1,5.4,72478,6,10523,46072,13106
Truth or Dare,2018,males,5.1,951,394,1371,3393,5818,5451,3371,2127,1394,1392,5.1,4.4,5.0,5.1,5.2,25662,58,7367,12138,3535
Jennifer's Body,2009,males,5.2,3238,1504,4273,9852,15736,16447,10348,5815,3467,3979,5.2,5.7,5.3,5.1,5.4,74659,19,14271,46687,10754
Things Heard & Seen,2021,males,5.2,204,123,517,1565,2966,3144,1830,900,469,508,5.2,4.2,5.2,5.2,5.4,12226,7,1882,6542,2724
The Witches,2020,males,5.3,482,237,832,2268,4131,3883,1985,1087,644,1056,5.3,4.9,5.2,5.2,5.5,16605,17,2604,9315,3097
The Green Inferno,2013,males,5.3,1038,547,1700,4084,6333,5542,3230,2052,1214,1505,5.3,4.8,5.2,5.3,5.4,27245,15,4911,15465,5096
Spiral,2021,males,5.2,657,357,1237,3037,5328,5222,2927,1818,1039,1201,5.2,5.7,5.2,5.2,5.2,22823,46,5188,12273,3243
