Name,Year,Rate,Genre,Country
Halloween 5: The Revenge of Michael Myers,1989,5.1,"Horror,Thriller",United States
The Haunted Mansion,2003,5.1,"Comedy,Family,Fantasy,Horror,Mystery",United States
A Nightmare on Elm Street,2010,5.2,"Crime,Drama,Horror,Mystery",United States
The Strangers: Prey at Night,2018,5.2,Horror,United States
Exorcist: The Beginning,2004,5.1,"Horror,Mystery,Thriller",United States
Sorority Row,2009,5.2,"Horror,Mystery",United States
Flatliners,2017,5.2,"Drama,Horror,Mystery,Sci-Fi,Thriller",United States
The Lords of Salem,2012,5.2,"Horror,Thriller",Canada
Hellboy,2019,5.2,"Action,Adventure,Fantasy,Horror,Sci-Fi",United States
The Darkest Hour,2011,4.9,"Action,Adventure,Horror,Sci-Fi,Thriller",United States
Apollo 18,2011,5.2,"Horror,Mystery,Sci-Fi,Thriller",United States
Friday the 13th Part VII: The New Blood,1988,5.3,"Horror,Thriller",United States
The First Purge,2018,5.2,"Action,Horror,Sci-Fi,Thriller",United States
Blair Witch,2016,5.0,"Horror,Mystery,Thriller",Canada
The Lazarus Effect,2015,5.2,"Horror,Mystery,Sci-Fi,Thriller",United States
Truth or Dare,2018,5.2,"Horror,Thriller",United States
Child's Play 3,1991,5.1,"Horror,Thriller",United States
The Stepford Wives,2004,5.3,"Comedy,Horror,Sci-Fi,Thriller",United States
Things Heard & Seen,2021,5.3,"Drama,Horror,Mystery,Thriller",United States
The Witches,2020,5.3,"Adventure,Comedy,Family,Fantasy,Horror,Mystery",United States
Jennifer's Body,2009,5.3,"Comedy,Horror",United States
Queen of the Damned,2002,5.3,"Drama,Fantasy,Horror",United States
Legion,2010,5.3,"Action,Fantasy,Horror",United States
The Resident,2011,5.3,"Drama,Horror,Mystery,Thriller",United Kingdom
Spiral,2021,5.3,"Crime,Drama,Horror,Mystery,Thriller",United States
Tusk,2014,5.3,"Comedy,Drama,Horror,Thriller",Canada
The Bad Batch,2016,5.3,"Action,Horror,Mystery,Romance,Sci-Fi",United States
The Covenant,2006,5.3,"Action,Adventure,Fantasy,Horror,Mystery,Thriller",United States
Friend Request,2016,5.3,"Horror,Mystery,Thriller",Germany
The New Mutants,2020,5.3,"Action,Horror,Mystery,Sci-Fi",United States
The Green Inferno,2013,5.3,"Adventure,Horror",United States
The Nun,2018,5.3,"Horror,Mystery,Thriller",United States
Sinister 2,2015,5.3,"Horror,Mystery,Thriller",United States
