Movie,Year,Rate_All Ages,Rate_<18,Rate_18-29,Rate_30-44,Rate_45+,Number_All Ages,Number_<18,Number_18-29,Number_30-44,Number_45+
Sweeney Todd: The Demon Barber of Fleet Street,2007,7.3,7.5,7.6,7.3,6.9,356986,90,61838,182469,32409
Twin Peaks: Fire Walk with Me,1992,7.3,7.2,7.5,7.3,7,93548,36,11588,40628,16221
Dawn of the Dead,2004,7.3,7.1,7.2,7.3,7.3,248426,50,31027,129404,29843
Dead Ringers,1988,7.3,7.6,7.4,7.3,7.1,44871,12,4189,18832,10848
Scream,1996,7.3,8,7.4,7.2,7.1,313424,245,40301,143681,36340
World War Z,2013,7,7,7.1,6.9,6.9,633302,233,117698,261233,62488
Trollhunter,2010,7,7.1,7,7,6.9,72169,15,8844,39086,11280
A Girl Walks Home Alone at Night,2014,7,5.9,7.2,6.9,6.8,34072,12,5885,15246,4859
The Cabin in the Woods,2011,7,7.1,7,7,7,398556,150,73707,182068,39201
Planet Terror,2007,7,6.6,7,7.1,6.9,206210,25,20554,119045,25285
Green Room,2015,7,7.2,7.2,6.9,6.8,116154,40,20874,47942,11854
Raw,2016,7,7.6,7.3,6.9,6.5,70230,50,15186,25368,6074
Orphan,2009,7,7.2,7,6.9,6.9,206341,108,41401,93250,18203
The Killing of a Sacred Deer,2017,7,7.5,7.4,6.9,6.5,139706,71,27365,50161,13642
Thelma,2017,7,6.3,7.2,7,6.8,29798,13,5170,11985,4234
Scanners,1981,6.8,6.9,6.8,6.8,6.8,52721,11,4231,23380,12313
The Fog,1980,6.8,6.9,6.7,6.7,6.9,70616,26,5619,29841,17314
Phenomena,1985,6.8,7,6.9,6.8,6.6,25400,9,2232,11760,5485
Dead Calm,1989,6.8,7.1,6.6,6.7,6.9,39199,5,1593,15113,12763
eXistenZ,1999,6.8,6.3,6.9,6.8,6.7,97813,10,6098,49653,19407
High Tension,2003,6.8,6.5,6.6,6.8,6.8,70560,15,6149,39014,10749
From Hell,2001,6.8,5.9,6.8,6.8,6.8,151713,20,12405,81630,23529
The Devil's Rejects,2005,6.8,6.9,6.8,6.8,6.6,97397,10,8185,53392,14548
Dog Soldiers,2002,6.8,9.7,6.8,6.7,6.9,58325,3,3987,29655,11631
Ginger Snaps,2000,6.8,7.4,7,6.7,6.7,45516,9,4371,22216,8291
1408,2007,6.8,7.3,6.9,6.8,6.6,264327,47,37950,140749,29175
Trick 'r Treat,2007,6.8,7.3,6.8,6.7,6.7,88956,46,13143,45942,10522
The Loved Ones,2009,6.6,6.8,6.7,6.6,6.6,39756,9,6114,20462,5211
Halloween,2018,6.6,6.9,6.7,6.5,6.4,141412,190,24126,47848,13931
You're Next,2011,6.6,6.9,6.6,6.5,6.5,95147,41,17419,42021,10667
The Final Girls,2015,6.6,7,6.6,6.5,6.5,44043,39,6810,19575,5379
Overlord,2018,6.6,7.2,6.7,6.5,6.5,94181,42,13687,36214,12614
Insidious: Chapter 2,2013,6.6,6.8,6.7,6.5,6.3,164545,103,37756,63471,12202
Bird Box,2018,6.6,6.4,6.6,6.6,6.6,310846,338,57177,103769,27345
Hellbound: Hellraiser II,1988,6.5,6.8,6.4,6.5,6.5,46496,26,3864,21564,8972
Hush,2016,6.6,6.5,6.7,6.5,6.5,120970,132,25638,39847,8366
The Girl with All the Gifts,2016,6.6,5.8,6.7,6.6,6.8,58125,13,6727,25670,9996
